Size,Difficulty,FunctionCalls,Time,Memory
5,Super easy,149106,7.917998552322388,0.0
5,Super easy,73984,4.00920557975769,0.0
5,Pretty easy,13080,0.8687741756439209,0.0
5,Super easy,5400,0.3452320098876953,0.0
5,Super easy,154515,7.067194223403931,0.0
5,Pretty easy,83051,3.7326691150665283,0.0
5,Pretty easy,32598,1.721456527709961,0.0
5,Super easy,23429,0.9758989810943604,0.0
5,Pretty easy,103766,4.685186386108398,0.0
5,Super easy,85261,3.5780043601989746,0.0
5,Super easy,32634,1.4302544593811035,0.0
5,Pretty easy,63735,2.672370672225952,0.0
5,Pretty easy,20886,0.884972333908081,0.0
5,Super easy,30463,1.4088573455810547,0.0
5,Pretty easy,123662,5.47311544418335,0.0
5,Pretty easy,137384,6.511537790298462,0.0
5,Super easy,102246,4.480116128921509,0.0
5,Pretty easy,47361,2.0135879516601562,0.0
5,Pretty easy,86224,3.898860454559326,0.0
5,Medium,34613,1.9417459964752197,0.0
5,Pretty easy,72058,3.425126314163208,0.0
5,Super easy,134976,6.29108190536499,0.0
5,Pretty easy,15290,0.669478178024292,0.0
5,Super easy,93773,4.133098840713501,0.0
5,Pretty easy,13387,0.6475005149841309,0.0
5,Pretty easy,6169,0.283923864364624,0.0
5,Super easy,96595,4.513762950897217,0.0
5,Pretty easy,108442,4.801179885864258,0.0
5,Easy,71452,3.6126739978790283,0.0
5,Super easy,96630,4.104794263839722,0.0
5,Super easy,120553,5.566934823989868,0.0
5,Super easy,44085,2.3081789016723633,0.0
5,Super easy,96493,4.41157341003418,0.0
5,Super easy,39752,1.8690648078918457,0.0
5,Hard,14487,0.718207597732544,0.0
5,Medium,73962,3.470874071121216,0.0
5,Super easy,120427,6.106244802474976,0.0
5,Super easy,44211,2.3144900798797607,0.0
5,Medium,21688,1.2039477825164795,0.0
5,Super easy,15020,0.7962028980255127,0.0
5,Super easy,47311,2.6238086223602295,0.0
5,Easy,23527,1.2043166160583496,0.0
5,Pretty easy,15111,0.7314226627349854,0.0
5,Super easy,13322,0.7154433727264404,0.0
5,Pretty easy,6724,0.34833240509033203,0.0
5,Super easy,46972,2.097478151321411,0.0
5,Super easy,71479,3.3736441135406494,0.0
5,Pretty easy,20732,0.9756932258605957,0.0
5,Super easy,21383,0.9268898963928223,0.0
5,Pretty easy,138668,6.4311747550964355,0.0
5,Super easy,14629,0.7262179851531982,0.0
5,Super easy,85875,5.052810430526733,0.0
5,Super easy,63527,3.6119205951690674,0.0
5,Pretty easy,93661,4.723345756530762,0.0
5,Super easy,139096,6.2530677318573,0.0
5,Super easy,103543,5.299031019210815,0.0
5,Pretty easy,137687,6.1692516803741455,0.0
5,Pretty easy,133182,6.1409218311309814,0.0
5,Super easy,44021,2.0176098346710205,0.0
5,Super easy,71452,3.1857948303222656,0.0
5,Super easy,70742,3.471281051635742,0.0
5,Pretty easy,14501,0.6368873119354248,0.0
5,Pretty easy,32653,1.7327604293823242,0.0
5,Super easy,154706,7.282489061355591,0.0
5,Super easy,14485,0.687936544418335,0.0
5,Super easy,33486,1.6490702629089355,0.0
5,Super easy,83065,3.6729631423950195,0.0
5,Pretty easy,93498,4.5984625816345215,0.0
5,Pretty easy,97140,4.435021638870239,0.0
5,Medium,103633,4.638960838317871,0.0
5,Super easy,46723,2.1369781494140625,0.0
5,Pretty easy,44009,2.153502941131592,0.0
5,Super easy,31851,1.3638229370117188,0.0
5,Super easy,118588,4.953102111816406,0.0
5,Pretty easy,137372,6.344956398010254,0.0
5,Super easy,44188,1.8113253116607666,0.0
5,Pretty easy,134134,5.8903968334198,0.0
5,Super easy,96643,4.302082300186157,0.0
5,Hard,24551,1.1512577533721924,0.0
5,Pretty easy,46829,2.286249876022339,0.0
5,Hard,63186,2.7056493759155273,0.0
5,Super easy,92574,4.529176950454712,0.0
5,Pretty easy,33351,1.3300490379333496,0.0
5,Super easy,72964,2.9945192337036133,0.0
5,Super easy,71436,3.0311431884765625,0.0
5,Pretty easy,23913,1.150526523590088,0.0
5,Pretty easy,5400,0.22459650039672852,0.0
5,Pretty easy,63186,2.7732465267181396,0.0
5,Hard,46999,2.1291611194610596,0.0
5,Super easy,27500,1.132427453994751,0.0
5,Super easy,69845,3.0037930011749268,0.0
5,Super easy,47361,2.0155041217803955,0.0
5,Super easy,102508,4.656996011734009,0.0
5,Super easy,87658,4.243387460708618,0.0
5,Pretty easy,153105,7.2168288230896,0.0
5,Pretty easy,71479,2.960934638977051,0.0
5,Super easy,6235,0.33904170989990234,0.0
5,Pretty easy,146828,6.888563394546509,0.0
5,Super easy,30463,1.410550832748413,0.0
5,Pretty easy,97161,4.039687395095825,0.0
5,Pretty easy,14662,0.6052827835083008,0.0
5,Pretty easy,96776,4.435441255569458,0.0
5,Pretty easy,87105,3.733541965484619,0.0
5,Pretty easy,137319,6.524750709533691,0.0
5,Pretty easy,120974,5.330567836761475,0.0
5,Pretty easy,33343,1.5334486961364746,0.0
5,Super easy,13710,0.5983209609985352,0.0
5,Pretty easy,33486,1.3301994800567627,0.0
5,Pretty easy,15060,0.6846494674682617,0.0
5,Easy,108440,4.539171934127808,0.0
5,Hard,31547,1.2923665046691895,0.0
5,Pretty easy,41251,1.991929292678833,0.0
5,Super easy,71750,2.8670642375946045,0.0
5,Super easy,20732,0.958061695098877,0.0
