Size,Difficulty,FunctionCalls,Time,Memory
5,Pretty easy,29,0.0011475086212158203,0
5,Pretty easy,26,0.0011222362518310547,0
5,Super easy,28,0.0011696815490722656,0
5,Hard,30,0.0012006759643554688,0
5,Hard,37,0.0015571117401123047,0
5,Easy,26,0.001108407974243164,0
5,Pretty easy,49,0.0022330284118652344,0
5,Super easy,39,0.0015420913696289062,0
5,Super easy,32,0.0008325576782226562,0
5,Pretty easy,26,0.0005671977996826172,0
5,Easy,26,0.0005319118499755859,0
5,Hard,50,0.0011279582977294922,0
5,Hard,29,0.0006039142608642578,0
5,Super easy,27,0.000568389892578125,0
5,Pretty easy,26,0.0005459785461425781,0
5,Easy,82,0.002629518508911133,0
5,Super easy,26,0.0010826587677001953,0
5,Pretty easy,26,0.0011391639709472656,0
5,Pretty easy,26,0.0010848045349121094,0
5,Hard,26,0.0011568069458007812,0
5,Pretty easy,74,0.0031037330627441406,0
5,Super easy,32,0.0007390975952148438,0
5,Super easy,27,0.0006136894226074219,0
5,Pretty easy,26,0.00048613548278808594,0
5,Pretty easy,47,0.001020193099975586,0
5,Super easy,56,0.001055002212524414,0
5,Super easy,26,0.0006480216979980469,0
5,Pretty easy,26,0.0006964206695556641,0
5,Pretty easy,82,0.001683950424194336,0
5,Easy,41,0.0009055137634277344,0
5,Super easy,26,0.0005645751953125,0
5,Pretty easy,30,0.0006055831909179688,0
5,Super easy,62,0.001285552978515625,0
5,Pretty easy,28,0.0005342960357666016,0
5,Super easy,27,0.0007038116455078125,0
5,Easy,50,0.0016324520111083984,0
5,Pretty easy,26,0.0004918575286865234,0
5,Super easy,58,0.0012462139129638672,0
5,Super easy,27,0.0011789798736572266,0
5,Pretty easy,38,0.0008840560913085938,0
5,Super easy,27,0.0008447170257568359,0
5,Pretty easy,27,0.0005528926849365234,0
5,Super easy,47,0.0010342597961425781,0
5,Super easy,38,0.0006928443908691406,0
5,Super easy,29,0.0006937980651855469,0
5,Very Hard,38,0.0015225410461425781,0
5,Hard,41,0.0011725425720214844,0
5,Super easy,26,0.0008072853088378906,0
5,Pretty easy,56,0.0010952949523925781,0
5,Super easy,26,0.0005209445953369141,0
5,Super easy,26,0.0005180835723876953,0
5,Pretty easy,56,0.00110626220703125,0
5,Super easy,26,0.0005488395690917969,0
5,Super easy,26,0.0009262561798095703,0
5,Easy,77,0.0022554397583007812,0
5,Easy,26,0.0005745887756347656,0
